close,volume,date,high,low
2.1862102397,20842.32,2022-03-08T23:59:59.999Z,2.1915541571,2.1430295598
2.3542970512,29300.88,2022-03-09T23:59:59.999Z,2.370158124,2.1856516755
2.263276578,9704.32,2022-03-10T23:59:59.999Z,2.3564103079,2.1848126396
2.1583379413,11470.24,2022-03-11T23:59:59.999Z,2.2633534534,2.1464432987
2.1627023894,5900.33,2022-03-12T23:59:59.999Z,2.1814244531,2.1580329892
2.2114028234,9110.81,2022-03-14T23:59:59.999Z,2.2114028234,2.1467047791
2.2017955986,7034.07,2022-03-15T23:59:59.999Z,2.2154588859,2.153987559
2.2887139714,8292.18,2022-03-16T23:59:59.999Z,2.3065082561,2.1839633247
2.2884585073,7475.94,2022-03-17T23:59:59.999Z,2.2919969862,2.2684222093
2.3203466027,7901.62,2022-03-18T23:59:59.999Z,2.3394520832,2.2756817195
2.2944510424,10982.26,2022-03-20T23:59:59.999Z,2.3412701937,2.2808954111
2.2946701455,5477.96,2022-03-21T23:59:59.999Z,2.3160959168,2.2811733005
2.423086725,8392.96,2022-03-22T23:59:59.999Z,2.4355918535,2.2911260237
2.4138976025,7364.31,2022-03-23T23:59:59.999Z,2.4265385776,2.3853329241
2.4368389205,10266.31,2022-03-24T23:59:59.999Z,2.4684753831,2.3881833031
2.4699010965,7767.44,2022-03-26T23:59:59.999Z,2.4836317887,2.4491796682
2.5021495175,15437.31,2022-03-27T23:59:59.999Z,2.5029714722,2.4700064385
2.4578348571,10597.82,2022-03-28T23:59:59.999Z,2.5014598074,2.3828285104
2.4402465282,10430.1,2022-03-29T23:59:59.999Z,2.4630582876,2.4208986044
2.4219621073,18457.39,2022-03-30T23:59:59.999Z,2.4647265077,2.4144322189
2.5496330184,12482.75,2022-04-01T23:59:59.999Z,2.5967815874,2.4959984058
2.5291786979,6763.86,2022-04-03T23:59:59.999Z,2.5521201921,2.4953816381
2.5114895827,7582.1,2022-04-04T23:59:59.999Z,2.5333772251,2.4931606251
2.5066293931,17334.08,2022-04-05T23:59:59.999Z,2.5121315457,2.4910180295
2.5892267899,9474.57,2022-04-06T23:59:59.999Z,2.5930249216,2.4942975298
2.5293375276,7469.41,2022-04-08T23:59:59.999Z,2.5894672136,2.5261105426
2.5944667119,6536.8,2022-04-09T23:59:59.999Z,2.5952407765,2.5263991347
2.5574427856,6273.24,2022-04-10T23:59:59.999Z,2.6006752334,2.5306128916
2.4485184757,24498.14,2022-04-11T23:59:59.999Z,2.5716771634,2.2741408425
2.5397062238,25285.11,2022-04-12T23:59:59.999Z,2.5477473493,2.4463205412
2.5336850211,7190.64,2022-04-14T23:59:59.999Z,2.5827577477,2.519134117
2.5568484472,10006.15,2022-04-15T23:59:59.999Z,2.5910894637,2.5295759879
2.5385353286,7261.16,2022-04-16T23:59:59.999Z,2.573135538,2.5216139091
2.5273505778,7845.1,2022-04-17T23:59:59.999Z,2.5650992219,2.5188727879
2.673134027,16849.21,2022-04-18T23:59:59.999Z,2.7110540891,2.5182331335
2.7070896565,38788.89,2022-04-20T23:59:59.999Z,2.7811940197,2.6927304134
2.767030497,29808.32,2022-04-21T23:59:59.999Z,2.8197690232,2.7070556864
2.6242647426,36586.71,2022-04-22T23:59:59.999Z,2.7802367853,2.604085161
2.1046799529,64046.46,2022-04-23T23:59:59.999Z,2.6444396305,1.8684976087
2.1348253824,17263.84,2022-04-24T23:59:59.999Z,2.1887732259,1.9814655231
2.0504800601,5315.56,2022-04-26T23:59:59.999Z,2.2101438509,2.0454494617
2.1008948279,6010.87,2022-04-27T23:59:59.999Z,2.1148449287,2.0498444314
