close,volume,date,high,low
0.1312274607,417.92,2022-01-31T23:59:59.999Z,0.1344410075,0.1263532961
0.1321145595,0.0,2022-02-01T23:59:59.999Z,0.1333826011,0.1299675912
0.1311830965,1811.3,2022-02-02T23:59:59.999Z,0.1432236216,0.1248629502
0.1270687328,805.94,2022-02-03T23:59:59.999Z,0.1314750278,0.1233130716
0.1340478275,444.08,2022-02-04T23:59:59.999Z,0.1341347474,0.1207966776
0.1382645356,2.71,2022-02-06T23:59:59.999Z,0.1518379701,0.1344583989
0.1543178087,1675.2,2022-02-07T23:59:59.999Z,0.1562945596,0.1360989863
0.1522086396,895.65,2022-02-08T23:59:59.999Z,0.160483189,0.1449691844
0.1551857922,1270.73,2022-02-09T23:59:59.999Z,0.1628917147,0.1507934833
0.1603196128,1490.3,2022-02-10T23:59:59.999Z,0.1689463406,0.1530902495
0.1596840966,729.82,2022-02-12T23:59:59.999Z,0.1612782413,0.1472827793
0.1561308068,1985.63,2022-02-13T23:59:59.999Z,0.1606539733,0.1520644054
0.1571457336,977.82,2022-02-14T23:59:59.999Z,0.1582703798,0.1542232376
0.1626994922,1031.97,2022-02-15T23:59:59.999Z,0.1639375909,0.1567919146
0.1582626938,4.69,2022-02-16T23:59:59.999Z,0.1627107082,0.1582337828
0.1537189463,1554.1,2022-02-18T23:59:59.999Z,0.1555858424,0.1415815261
0.1524641881,923.04,2022-02-19T23:59:59.999Z,0.1552084962,0.1517038828
0.1441176679,475.29,2022-02-20T23:59:59.999Z,0.1524555822,0.1330137207
0.1008447598,768.86,2022-02-21T23:59:59.999Z,0.1477291343,0.100505294
0.1317039332,318.89,2022-02-22T23:59:59.999Z,0.1319578966,0.0943727555
0.1456639174,960.55,2022-02-24T23:59:59.999Z,0.148471285,0.1299979442
0.1509747494,2.54,2022-02-25T23:59:59.999Z,0.1521119638,0.1448230992
0.1415606351,1420.5,2022-02-26T23:59:59.999Z,0.1540205926,0.1411109101
0.1059644923,266.91,2022-02-27T23:59:59.999Z,0.151159981,0.1047258268
0.1373544842,1668.03,2022-02-28T23:59:59.999Z,0.1434316149,0.1002640001
0.1190343555,13.87,2022-03-02T23:59:59.999Z,0.1382207883,0.1177030283
0.1137707961,21.37,2022-03-03T23:59:59.999Z,0.1192984773,0.1123315276
0.1048887778,0.0,2022-03-04T23:59:59.999Z,0.1138453632,0.1039996768
0.1134736823,6.23,2022-03-05T23:59:59.999Z,0.1139510482,0.1040272153
0.1033497553,0.01,2022-03-06T23:59:59.999Z,0.114163709,0.1030264567
0.1080769791,583.84,2022-03-08T23:59:59.999Z,0.1096593956,0.0708790354
0.1171323645,0.0,2022-03-09T23:59:59.999Z,0.1184792274,0.1079900044
0.1092417636,12.3,2022-03-10T23:59:59.999Z,0.1171931888,0.1080142431
0.088064589,39.94,2022-03-11T23:59:59.999Z,0.1092487156,0.0872427548
0.0883121104,0.0,2022-03-12T23:59:59.999Z,0.0892305199,0.0880136564
0.0955968815,59.12,2022-03-14T23:59:59.999Z,0.1078952134,0.0927979423
0.1081816601,390.37,2022-03-15T23:59:59.999Z,0.1094352332,0.0923276123
0.0987454273,0.21,2022-03-16T23:59:59.999Z,0.1140299922,0.093713308
0.1138448361,188.37,2022-03-17T23:59:59.999Z,0.1142642027,0.0975908894
0.1007407823,344.59,2022-03-18T23:59:59.999Z,0.1138266599,0.0987705657
0.0981698198,23.35,2022-03-20T23:59:59.999Z,0.1148959682,0.0978099275
0.0994087551,686.75,2022-03-21T23:59:59.999Z,0.1118717269,0.0967899392
0.100390376,324.38,2022-03-22T23:59:59.999Z,0.1043617935,0.0990948394
0.1025141684,291.17,2022-03-23T23:59:59.999Z,0.102515481,0.0984121471
0.1164964726,584.51,2022-03-24T23:59:59.999Z,0.1169494146,0.1021155285
0.1063569799,60.56,2022-03-26T23:59:59.999Z,0.1177276956,0.1059692182
0.1090917498,165.52,2022-03-27T23:59:59.999Z,0.1091081826,0.0926705114
0.0994400909,26.49,2022-03-28T23:59:59.999Z,0.1162807725,0.0985020055
0.1001526901,0.0,2022-03-29T23:59:59.999Z,0.1013270295,0.0993819254
0.1007141013,3.88,2022-03-30T23:59:59.999Z,0.1019820198,0.098634506
