close,volume,date,high,low
0.5783088211,25794.93,2022-01-31T23:59:59.999Z,0.6202278191,0.5076017976
0.563084914,29041.29,2022-02-01T23:59:59.999Z,0.6160716754,0.5296207328
0.5631314875,25085.62,2022-02-02T23:59:59.999Z,0.6176155226,0.545178627
0.5985089395,13238.74,2022-02-03T23:59:59.999Z,0.5985089395,0.5559932948
0.6517046939,23570.41,2022-02-04T23:59:59.999Z,0.6520525999,0.5623951986
0.6763153916,20110.49,2022-02-06T23:59:59.999Z,0.6830768076,0.6421878491
0.6936658468,17890.13,2022-02-07T23:59:59.999Z,0.7054324255,0.6657310854
0.7034847667,14744.27,2022-02-08T23:59:59.999Z,0.7167971712,0.6761384874
0.7194607032,11206.56,2022-02-09T23:59:59.999Z,0.7196008733,0.6832506181
0.6968452369,6973.37,2022-02-10T23:59:59.999Z,0.7216256741,0.6946108423
0.6564662674,16515.51,2022-02-12T23:59:59.999Z,0.6768600679,0.6383329261
0.6580861439,11057.18,2022-02-13T23:59:59.999Z,0.6718712529,0.6361213544
0.649511405,4395.15,2022-02-14T23:59:59.999Z,0.6673099497,0.6342371078
0.6664841194,8251.43,2022-02-15T23:59:59.999Z,0.6751412692,0.6424328214
0.6703655061,11943.32,2022-02-16T23:59:59.999Z,0.6871855146,0.6352622176
0.6032546802,5259.5,2022-02-18T23:59:59.999Z,0.6244031665,0.59517688
0.6071692233,4969.23,2022-02-19T23:59:59.999Z,0.6161854266,0.5988634586
0.6093130924,6428.43,2022-02-20T23:59:59.999Z,0.6215801243,0.5759857906
0.585440352,4654.42,2022-02-21T23:59:59.999Z,0.6324613583,0.558770055
0.5912662239,6749.17,2022-02-22T23:59:59.999Z,0.5964305512,0.5580276389
0.5762984046,9459.25,2022-02-24T23:59:59.999Z,0.5839621061,0.5265710516
0.5667513968,20074.89,2022-02-25T23:59:59.999Z,0.5959616923,0.5667513968
0.5715483731,5156.64,2022-02-26T23:59:59.999Z,0.5940096372,0.555049852
0.5438512039,6774.23,2022-02-27T23:59:59.999Z,0.581842411,0.5338116516
0.6088083685,9220.47,2022-02-28T23:59:59.999Z,0.6207376973,0.5350668405
0.62217194,4705.13,2022-03-02T23:59:59.999Z,0.6254446676,0.5904596545
0.5817918945,4878.8,2022-03-03T23:59:59.999Z,0.6289825807,0.5784895807
0.5566280088,8258.69,2022-03-04T23:59:59.999Z,0.5839582513,0.5409241812
0.5408976746,3360.97,2022-03-05T23:59:59.999Z,0.5570141096,0.5343715204
0.5287175844,5770.84,2022-03-06T23:59:59.999Z,0.5597539895,0.5219269237
0.5237777334,2305.58,2022-03-08T23:59:59.999Z,0.5363118421,0.5169872762
0.565522048,7917.45,2022-03-09T23:59:59.999Z,0.580476771,0.5234078175
0.5333337775,3418.17,2022-03-10T23:59:59.999Z,0.5742798924,0.5301690858
0.5222241015,6471.22,2022-03-11T23:59:59.999Z,0.5465649627,0.5182786229
0.5210729609,6175.12,2022-03-12T23:59:59.999Z,0.5522109895,0.5205949258
0.5190617815,6380.78,2022-03-14T23:59:59.999Z,0.5249772821,0.4742387773
0.5475289801,4679.12,2022-03-15T23:59:59.999Z,0.5484973493,0.5054634447
0.5416032948,6492.37,2022-03-16T23:59:59.999Z,0.5485018149,0.5156158147
0.5368867075,1863.09,2022-03-17T23:59:59.999Z,0.5462416337,0.5338554929
0.5494093653,3438.43,2022-03-18T23:59:59.999Z,0.5612870729,0.5289367481
0.5444888449,3181.95,2022-03-20T23:59:59.999Z,0.5583839376,0.5430216702
0.5344281895,5823.84,2022-03-21T23:59:59.999Z,0.5527290011,0.5291983273
0.5557631061,3957.91,2022-03-22T23:59:59.999Z,0.5660399015,0.5329234696
0.5493327429,4103.44,2022-03-23T23:59:59.999Z,0.56386493,0.5419525642
0.5415006189,10996.63,2022-03-24T23:59:59.999Z,0.5817675729,0.5406910049
0.5724069382,4198.45,2022-03-26T23:59:59.999Z,0.5819986861,0.5560277511
0.6026256905,6182.77,2022-03-27T23:59:59.999Z,0.6047459667,0.56930673
0.5866677501,10626.19,2022-03-28T23:59:59.999Z,0.6030865883,0.5843810218
0.6043763903,27874.76,2022-03-29T23:59:59.999Z,0.6289695831,0.5829135135
0.6119470873,6192.95,2022-03-30T23:59:59.999Z,0.6230491515,0.5968840982
0.599594436,1975.88,2022-04-01T23:59:59.999Z,0.5996096743,0.5775814183
0.6198891334,4919.01,2022-04-03T23:59:59.999Z,0.6458096229,0.6029249021
0.6565647348,15953.87,2022-04-04T23:59:59.999Z,0.6693888389,0.6135241048
0.6736962246,13755.41,2022-04-05T23:59:59.999Z,0.7059534004,0.6534707872
0.6391182812,13755.72,2022-04-06T23:59:59.999Z,0.6986517547,0.6292059298
0.6040541043,6393.29,2022-04-08T23:59:59.999Z,0.655088446,0.6033521649
0.6293078324,18707.89,2022-04-09T23:59:59.999Z,0.643569547,0.5959977798
0.608620996,5445.56,2022-04-10T23:59:59.999Z,0.6404014222,0.606373478
0.5647744718,4625.83,2022-04-11T23:59:59.999Z,0.6238699368,0.5601443058
0.5615750013,15239.59,2022-04-12T23:59:59.999Z,0.5689818055,0.542767041
0.5534745417,3641.72,2022-04-14T23:59:59.999Z,0.5880100498,0.5524694791
0.5480634204,10548.77,2022-04-15T23:59:59.999Z,0.5719120152,0.5446406517
0.535218253,6816.08,2022-04-16T23:59:59.999Z,0.5504527276,0.5344195172
0.5407365771,7521.07,2022-04-17T23:59:59.999Z,0.5480122868,0.5315958002
0.5332348753,11551.63,2022-04-18T23:59:59.999Z,0.5413492116,0.5129582205
0.5283751386,4402.48,2022-04-20T23:59:59.999Z,0.5479041188,0.524088431
0.5237700232,2281.34,2022-04-21T23:59:59.999Z,0.5555720315,0.5169170633
0.5093983978,2669.27,2022-04-22T23:59:59.999Z,0.5252944391,0.5047927924
0.4997793877,4323.89,2022-04-23T23:59:59.999Z,0.5165035246,0.4991692565
0.4950081307,14982.66,2022-04-24T23:59:59.999Z,0.5148688791,0.4949893114
0.484547091,7436.89,2022-04-26T23:59:59.999Z,0.5282848109,0.4756026497
0.4709335315,3668.78,2022-04-27T23:59:59.999Z,0.4929066968,0.4659516932
0.4521371471,19613.23,2022-04-28T23:59:59.999Z,0.4896041091,0.4446549346
0.4513433046,12132.06,2022-04-29T23:59:59.999Z,0.4790839501,0.436028067
0.4334240813,3805.09,2022-04-30T23:59:59.999Z,0.4635810478,0.4293586081
0.4541382519,1294.51,2022-05-02T23:59:59.999Z,0.4703892851,0.4389538497
0.4484236684,580.35,2022-05-03T23:59:59.999Z,0.4613211276,0.4301266711
0.4540999924,1022.87,2022-05-04T23:59:59.999Z,0.4633331951,0.4367946579
0.4288515763,2860.53,2022-05-05T23:59:59.999Z,0.4715332146,0.4113473449
0.416272945,4689.27,2022-05-06T23:59:59.999Z,0.4313877117,0.3861625416
0.4105488979,4574.92,2022-05-08T23:59:59.999Z,0.4348533656,0.3983228902
0.3462727686,4761.96,2022-05-09T23:59:59.999Z,0.4290501853,0.3462727686
0.3438202571,8475.35,2022-05-10T23:59:59.999Z,0.3820155525,0.3431967344
0.3296100341,7958.24,2022-05-11T23:59:59.999Z,0.366945912,0.3129781736
0.3070385007,9188.39,2022-05-12T23:59:59.999Z,0.3399608451,0.2917572898
0.3373763623,9346.62,2022-05-14T23:59:59.999Z,0.3555900622,0.3054362366
0.3644974683,10590.05,2022-05-15T23:59:59.999Z,0.3684134134,0.3276868277
0.336524002,2428.1,2022-05-16T23:59:59.999Z,0.3645003728,0.3322012934
0.3494324731,3048.39,2022-05-17T23:59:59.999Z,0.3541459442,0.3338588008
0.3315308192,3291.6,2022-05-18T23:59:59.999Z,0.3587877535,0.3313428161
0.356883519,14526.35,2022-05-20T23:59:59.999Z,0.3580699138,0.3128967073
0.3504060656,1408.45,2022-05-21T23:59:59.999Z,0.3549688734,0.3463263672
0.3574175246,1543.9,2022-05-22T23:59:59.999Z,0.3576570996,0.3459468369
0.3463776597,2250.21,2022-05-23T23:59:59.999Z,0.3699269436,0.3450007556
0.3599759408,2075.89,2022-05-24T23:59:59.999Z,0.3609427003,0.3426951443
0.3759560861,5337.08,2022-05-26T23:59:59.999Z,0.3801185055,0.3509343548
0.3544450455,4211.09,2022-05-27T23:59:59.999Z,0.3763396267,0.3510154077
0.3712016276,5018.84,2022-05-28T23:59:59.999Z,0.4177189554,0.3494114592
0.3477775781,13741.14,2022-05-29T23:59:59.999Z,0.3834069304,0.3475093811
0.3833871817,2241.58,2022-05-30T23:59:59.999Z,0.3849797231,0.3463515438
