Name,Ticker,close,volume,date,high,low
Bitcoin,BTC,38483.12631,20734730465,1/31/2022 16:00,38647.26098,36733.57287
Bitcoin,BTC,38743.27257,20288500328,2/1/2022 16:00,39115.13228,38113.66309
Bitcoin,BTC,36952.98493,19155189416,2/2/2022 16:00,38834.61783,36832.72867
Bitcoin,BTC,37154.60024,18591534769,2/3/2022 16:00,37154.60024,36375.53734
Bitcoin,BTC,41500.87538,29412210792,2/4/2022 16:00,41527.78558,37093.62957
Bitcoin,BTC,42412.43424,16142097334,2/6/2022 16:00,42500.78693,41244.90763
Bitcoin,BTC,43840.28658,28641855926,2/7/2022 16:00,44401.86351,41748.15531
Bitcoin,BTC,44118.44626,33079398868,2/8/2022 16:00,45293.86624,42807.83574
Bitcoin,BTC,44338.79776,23245887300,2/9/2022 16:00,44727.79989,43232.96716
Bitcoin,BTC,43565.11217,32142048537,2/10/2022 16:00,45661.17314,43402.80824
Bitcoin,BTC,42244.46999,18152390304,2/12/2022 16:00,42992.55156,41852.57272
Bitcoin,BTC,42197.51534,14741589015,2/13/2022 16:00,42693.05285,41950.94174
Bitcoin,BTC,42586.91969,20827783012,2/14/2022 16:00,42775.77832,41681.95611
Bitcoin,BTC,44575.20333,22721659051,2/15/2022 16:00,44667.21698,42491.03376
Bitcoin,BTC,43961.85939,19792547657,2/16/2022 16:00,44578.27621,43456.69294
Bitcoin,BTC,40030.9756,23310007704,2/18/2022 16:00,40929.15323,39637.6186
Bitcoin,BTC,40122.15477,13736557863,2/19/2022 16:00,40418.87922,39713.05833
Bitcoin,BTC,38431.37812,18340576452,2/20/2022 16:00,40119.89006,38112.81394
Bitcoin,BTC,37075.27935,29280402798,2/21/2022 16:00,39394.43583,36950.47572
Bitcoin,BTC,38286.02709,25493150450,2/22/2022 16:00,38359.85366,36488.93226
Bitcoin,BTC,38332.60983,46383802093,2/24/2022 16:00,38968.84122,34459.21773
Bitcoin,BTC,39214.22063,26545599159,2/25/2022 16:00,39630.32242,38111.34189
Bitcoin,BTC,39105.14782,17467554129,2/26/2022 16:00,40005.34873,38702.53371
Bitcoin,BTC,37709.78375,23450127612,2/27/2022 16:00,39778.94237,37268.97752
Bitcoin,BTC,43193.23403,35690014104,2/28/2022 16:00,43760.45702,37518.2146
Bitcoin,BTC,43924.11644,29183112630,3/2/2022 16:00,45077.57695,43432.85178
Bitcoin,BTC,42451.78959,24967782593,3/3/2022 16:00,44021.57834,41914.7491
Bitcoin,BTC,39137.60364,28516271427,3/4/2022 16:00,42479.61314,38805.84954
Bitcoin,BTC,39400.58414,16975917450,3/5/2022 16:00,39566.33619,38777.03642
Bitcoin,BTC,38419.98338,19745229902,3/6/2022 16:00,39640.17675,38211.64796
Bitcoin,BTC,38737.2685,25776583476,3/8/2022 16:00,39304.44285,37957.38653
Bitcoin,BTC,41982.92635,32284121034,3/9/2022 16:00,42465.67291,38706.09478
Bitcoin,BTC,39437.45977,31078064711,3/10/2022 16:00,42004.72715,38832.94127
Bitcoin,BTC,38794.97314,26364890465,3/11/2022 16:00,40081.67925,38347.43316
Bitcoin,BTC,38904.0134,14616450657,3/12/2022 16:00,39308.59906,38772.53588
Bitcoin,BTC,39666.75582,24322159070,3/14/2022 17:00,39742.50072,37680.73447
Bitcoin,BTC,39338.78549,23934000868,3/15/2022 17:00,39794.63026,38310.21258
Bitcoin,BTC,41143.92804,39616916192,3/16/2022 17:00,41465.45171,39022.34709
Bitcoin,BTC,40951.37988,22009601093,3/17/2022 17:00,41287.5352,40662.8706
Bitcoin,BTC,41801.1545,34421564942,3/18/2022 17:00,42195.74476,40302.39805
Bitcoin,BTC,41247.82345,20127946682,3/20/2022 17:00,42241.16478,41004.75956
Bitcoin,BTC,41077.99799,24615543271,3/21/2022 17:00,41454.41043,40668.0417
Bitcoin,BTC,42358.80843,32004652376,3/22/2022 17:00,43124.70807,40948.28074
Bitcoin,BTC,42892.95748,25242943069,3/23/2022 17:00,42893.50668,41877.5094
Bitcoin,BTC,43960.93306,31042992291,3/24/2022 17:00,44131.85455,42726.16253
Bitcoin,BTC,44500.82842,16950455995,3/26/2022 17:00,44735.9956,44166.27514
Bitcoin,BTC,46820.49346,28160889722,3/27/2022 17:00,46827.54619,44437.29365
Bitcoin,BTC,47128.00516,36362175703,3/28/2022 17:00,48086.83675,46690.20413
Bitcoin,BTC,47465.72989,31397059069,3/29/2022 17:00,48022.28888,47100.4386
Bitcoin,BTC,47062.66417,29333883962,3/30/2022 17:00,47655.14943,46746.21137
Bitcoin,BTC,46281.64398,38162644287,4/1/2022 17:00,46616.24377,44403.14101
Bitcoin,BTC,46453.56708,25414397610,4/3/2022 17:00,47313.47685,45634.1038
Bitcoin,BTC,46622.67441,32499785455,4/4/2022 17:00,46791.08905,45235.81535
Bitcoin,BTC,45555.9934,29640604055,4/5/2022 17:00,47106.13974,45544.80751
