date,Open,Close
6/5/2021,36880.15625,35551.95703
6/6/2021,35538.60938,35862.37891
6/7/2021,35835.26563,33560.70703
6/8/2021,33589.51953,33472.63281
6/9/2021,33416.97656,37345.12109
6/10/2021,37389.51563,36702.59766
6/11/2021,36697.03125,37334.39844
6/12/2021,37340.14453,35552.51563
6/13/2021,35555.78906,39097.85938
6/14/2021,39016.96875,40218.47656
6/15/2021,40427.16797,40406.26953
6/16/2021,40168.69141,38347.0625
6/17/2021,38341.42188,38053.50391
6/18/2021,38099.47656,35787.24609
6/19/2021,35854.52734,35615.87109
6/20/2021,35563.14063,35698.29688
6/21/2021,35641.14453,31676.69336
6/22/2021,31622.37695,32505.66016
6/23/2021,32515.71484,33723.02734
6/24/2021,33682.80078,34662.4375
6/25/2021,34659.10547,31637.7793
6/26/2021,31594.66406,32186.27734
6/27/2021,32287.52344,34649.64453
6/28/2021,34679.12109,34434.33594
6/29/2021,34475.55859,35867.77734
6/30/2021,35908.38672,35040.83594
7/1/2021,35035.98438,33572.11719
7/2/2021,33549.60156,33897.04688
7/3/2021,33854.42188,34668.54688
7/4/2021,34665.56641,35287.78125
7/5/2021,35284.34375,33746.00391
7/6/2021,33723.50781,34235.19531
7/7/2021,34225.67969,33855.32813
7/8/2021,33889.60547,32877.37109
7/9/2021,32861.67188,33798.01172
7/10/2021,33811.24219,33520.51953
7/11/2021,33509.07813,34240.1875
7/12/2021,34254.01563,33155.84766
7/13/2021,33125.46875,32702.02539
7/14/2021,32723.8457,32822.34766
7/15/2021,32827.875,31780.73047
7/16/2021,31841.55078,31421.53906
7/17/2021,31397.30859,31533.06836
7/18/2021,31533.88477,31796.81055
7/19/2021,31800.01172,30817.83203
7/20/2021,30838.28516,29807.34766
7/21/2021,29796.28516,32110.69336
7/22/2021,32138.87305,32313.10547
7/23/2021,32305.95898,33581.55078
7/24/2021,33593.73047,34292.44531
7/25/2021,34290.29297,35350.1875
7/26/2021,35384.03125,37337.53516
7/27/2021,37276.03516,39406.94141
7/28/2021,39503.1875,39995.90625
7/29/2021,39995.45313,40008.42188
7/30/2021,40027.48438,42235.54688
7/31/2021,42196.30469,41626.19531
8/1/2021,41460.84375,39974.89453
8/2/2021,39907.26172,39201.94531
8/3/2021,39178.40234,38152.98047
8/4/2021,38213.33203,39747.50391
8/5/2021,39744.51563,40869.55469
8/6/2021,40865.86719,42816.5
8/7/2021,42832.79688,44555.80078
8/8/2021,44574.4375,43798.11719
8/9/2021,43791.92578,46365.40234
8/10/2021,46280.84766,45585.03125
8/11/2021,45599.70313,45593.63672
8/12/2021,45576.87891,44428.28906
8/13/2021,44439.69141,47793.32031
8/14/2021,47810.6875,47096.94531
8/15/2021,47096.66797,47047.00391
8/16/2021,47019.96094,46004.48438
8/17/2021,45936.45703,44695.35938
8/18/2021,44686.75,44801.1875
8/19/2021,44741.88281,46717.57813
8/20/2021,46723.12109,49339.17578
8/21/2021,49327.07422,48905.49219
8/22/2021,48869.10547,49321.65234
8/23/2021,49291.67578,49546.14844
8/24/2021,49562.34766,47706.11719
8/25/2021,47727.25781,48960.78906
8/26/2021,49002.64063,46942.21875
8/27/2021,46894.55469,49058.66797
8/28/2021,49072.58594,48902.40234
8/29/2021,48911.25,48829.83203
8/30/2021,48834.85156,47054.98438
8/31/2021,47024.33984,47166.6875
9/1/2021,47099.77344,48847.02734
9/2/2021,48807.84766,49327.72266
9/3/2021,49288.25,50025.375
